property_id,title,district,city,property_type,price_eur,size_sqm,bedrooms,bathrooms,floor,total_floors,year_built,condition,furnished,terrace,elevator,parking,heating,nearby_transport,description,inspection_notes,legal_notes,features
P011,Starter Apartment in Obelya Close to Metro,Obelya,Sofia,apartment,76000,62,1,1,4,8,1988,good,unfurnished,True,True,False,district heating,Obelya metro station within walking distance,"Functional apartment in Obelya suitable for first-time buyers. The property is close to metro and everyday neighborhood services. The layout includes a living room, bedroom, kitchen, bathroom, and terrace.","The apartment is usable in its current condition, with older finishes but no major visible defects.",Seller states that the title is clear and no encumbrances are known.,"first-time buyer, metro nearby, terrace, elevator, affordable"
P012,Two-Bedroom Apartment in Hadji Dimitar with Metro Access,Hadji Dimitar,Sofia,apartment,108000,72,2,1,3,6,1996,good,partly furnished,False,True,False,central heating,Hadji Dimitar metro station and several bus lines,Two-bedroom apartment in Hadji Dimitar with convenient metro access and practical transport connections to the city center. The area continues to develop and offers a strong balance between price and location.,"The home is in solid condition, with functional kitchen and bathroom. Flooring shows wear in parts of the apartment.",Ownership documentation reviewed by the seller. No unresolved legal claims reported.,"metro access, practical layout, elevator, good value, city access"
P013,Apartment in Krasno Selo Near Market and Metro,Krasno Selo,Sofia,apartment,125000,82,2,1,5,7,2001,very good,furnished,True,True,False,central heating,"Krasno Selo metro station, market area, tram lines","Comfortable two-bedroom apartment in Krasno Selo close to the market and metro station. The location provides quick access to transport, shops, and established neighborhood services. The apartment is suitable for a small family and includes a terrace and practical internal layout.",The apartment is maintained and ready for use. Kitchen furniture and selected appliances remain with the property.,The seller indicates clear ownership and no legal encumbrances.,"terrace, metro, near market, family suitable, furnished"
P014,One-Bedroom Apartment in Ovcha Kupel Near NBU,Ovcha Kupel,Sofia,apartment,98000,75,1,1,4,6,2011,very good,fully furnished,True,True,False,gas heating,Metro and convenient access to New Bulgarian University,"Spacious one-bedroom apartment in Ovcha Kupel, attractive both for owner occupancy and rental due to its proximity to New Bulgarian University. The apartment includes a bright living space, terrace, and practical kitchen arrangement.",The interior is in very good condition. Furniture is usable and the heating installation appears well maintained.,Ownership documents presented. No active encumbrances disclosed.,"near university, terrace, fully furnished, elevator, rental potential"
P015,House with Garden in Boyana Near the Mountain,Boyana,Sofia,house,210000,140,3,2,2,2,2006,very good,partly furnished,True,False,True,local heating system,Bus access toward central Sofia; quick road access to ring road,"Detached house in Boyana with garden and a peaceful residential environment close to Vitosha mountain. The home offers spacious rooms, family-oriented layout, and outdoor space suitable for relaxation or entertaining. The area is preferred by buyers looking for more privacy and cleaner air while remaining connected to the city.",The property is in very good condition overall. Roofing and exterior are maintained. The garden is landscaped and parking is available on site.,Property title is reported as clean. The seller states that there are no unresolved ownership or zoning issues.,"garden, parking, mountain proximity, family house, quiet area"
P016,Family House in Dragalevtsi with Quiet Surroundings,Dragalevtsi,Sofia,house,195000,130,3,2,2,2,2009,good,partly furnished,True,False,True,gas heating,Road connection to ring road and city buses,"House in Dragalevtsi in a quiet residential zone near the lower slopes of Vitosha mountain. The property includes generous living space, multiple bedrooms, outdoor area, and parking. It appeals to buyers looking for a suburban atmosphere with convenient city access.",The interior is well kept but some bathrooms may benefit from modernization. The heating system is operational.,Seller provided standard ownership documents. No legal encumbrances were noted.,"quiet surroundings, parking, terrace, family layout, mountain access"
P017,Compact Apartment in Banishora Walking Distance to Metro,Banishora,Sofia,apartment,102000,68,1,1,3,6,2000,good,furnished,False,True,False,central heating,Metro station within walking distance and strong tram access,"Compact apartment in Banishora with practical transport and quick access to central Sofia. The property is suitable for a couple, single occupant, or investment buyer looking for a well-connected location.",The apartment is maintained and usable immediately. Interior finishes are older but acceptable.,Ownership reported as clean. No legal disputes disclosed.,"metro nearby, furnished, elevator, central access, investment option"
P018,Prestigious Apartment in Iztok Near Borisova Garden,Iztok,Sofia,apartment,175000,95,2,2,4,6,2010,excellent,partly furnished,True,True,True,central heating,Metro access and proximity to major boulevards,"Well-positioned apartment in Iztok, one of Sofia's more prestigious districts, close to Borisova Garden, embassies, and high-quality urban amenities. The property is spacious and suitable for buyers looking for a higher-end residential environment.","The apartment is in excellent condition with quality flooring, good insulation, and modern bathrooms.",Documents indicate normal ownership status without reported encumbrances.,"prestigious area, terrace, parking, near park, quality finishes"
P019,Two-Bedroom Apartment in Musagenitsa Near Metro and Campus,Musagenitsa,Sofia,apartment,119000,80,2,1,6,8,1995,good,partly furnished,True,True,False,district heating,Musagenitsa metro station and access to university areas,"Practical two-bedroom apartment in Musagenitsa, close to metro and educational institutions. The area is attractive for both households and investment buyers due to transport convenience and stable rental demand.","The apartment is in good overall condition. Kitchen cabinetry is older, but the property is immediately usable.",Ownership documents are available and no legal obstacles were reported.,"metro access, terrace, near campus, elevator, rental potential"
P020,Apartment in Slatina Near Park and Public Transport,Slatina,Sofia,apartment,112000,74,2,1,2,5,1999,good,partly furnished,False,False,False,central heating,Bus access and convenient roads toward central Sofia,"Two-bedroom apartment in Slatina close to park areas and daily amenities. The neighborhood offers a stable residential environment and access to schools, shops, and public transport.",The property is in generally good condition with serviceable kitchen and bathroom. Some cosmetic updates could improve the overall presentation.,Ownership verified by seller documentation. No known encumbrances noted.,"near park, residential area, good family option, city access, practical price"
P021,Two-Bedroom Apartment in Hipodruma with Good Connectivity,Hipodruma,Sofia,apartment,118000,77,2,1,3,6,2002,very good,partly furnished,True,True,False,central heating,Metro and bus connections nearby,Well-located apartment in Hipodruma with strong transport access and practical urban convenience. The home is suitable for family use and benefits from a balanced size-to-price ratio.,"Good overall condition, maintained kitchen, and acceptable bathroom finishes. Terrace doors close well and no major defects were noted.",No active legal encumbrances were reported by the seller.,"terrace, elevator, good transport, family suitable, well maintained"
P022,Spacious Apartment in Pavlovo with Quiet Neighborhood Feel,Pavlovo,Sofia,apartment,132000,90,2,1,4,5,2007,very good,furnished,True,True,True,gas heating,Bus and road access toward central city and southern districts,"Large apartment in Pavlovo offering a quieter residential setting while remaining connected to the city. The area is appreciated for lower density, mountain proximity, and more relaxed atmosphere.",The home is in very good condition and includes fitted kitchen furniture. Parking space is available.,Standard ownership documents are available. No legal issues disclosed.,"quiet neighborhood, parking, terrace, gas heating, spacious"
P023,One-Bedroom Apartment in Lagera with Convenient Access,Lagera,Sofia,apartment,101000,70,1,1,5,7,2004,good,partly furnished,True,True,False,central heating,Tram and bus connections with good access to business districts,"One-bedroom apartment in Lagera suitable for a couple or individual buyer seeking a well-positioned district with reliable transport. The area offers everyday shops, green spaces, and access to key roads.",Usable condition with some cosmetic wear on walls. Terrace and windows appear serviceable.,Ownership status reported as clear.,"terrace, elevator, good access, compact layout, urban convenience"
P024,Affordable Apartment in Nadezhda with Metro Access,Nadezhda,Sofia,apartment,83000,63,1,1,4,8,1987,fair,unfurnished,True,True,False,district heating,Metro access and bus routes toward central Sofia,"Affordable apartment in Nadezhda, suitable for buyers seeking lower entry price with metro access. The layout is functional and can be improved through renovation.","The property requires modernization, especially in the kitchen and bathroom. Basic structure and windows appear acceptable.",Seller indicates clear ownership.,"affordable, metro access, terrace, renovation potential, elevator"
P025,Three-Bedroom House in Bankya with Yard,Bankya,Sofia,house,165000,120,3,2,2,2,2004,good,partly furnished,True,False,True,local heating system,Road and rail connection from Bankya toward Sofia,Family house in Bankya with yard and a calmer suburban environment known for cleaner air and more space. The property is suitable for buyers who prioritize outdoor space and residential tranquility over central location.,"The house is in good condition. The yard requires seasonal maintenance, and some interior finishes are slightly dated.",Ownership documents reviewed by seller. No legal problems reported.,"yard, parking, suburban setting, family house, quiet environment"
P026,Large House in Simeonovo with Mountain Access,Simeonovo,Sofia,house,220000,150,3,3,2,2,2012,excellent,partly furnished,True,False,True,gas heating,Road access to ring road and southern Sofia,"Spacious house in Simeonovo, attractive for buyers seeking mountain proximity and larger living space. The property includes generous common areas, multiple bedrooms, and outdoor space suitable for family living.","Excellent condition overall, with modern installations and good insulation. Parking is available on the property.",Seller reports clean title and complete registration.,"mountain access, parking, terrace, excellent condition, family space"
P027,One-Bedroom Apartment in Malinova Dolina with Newer Construction,Malinova Dolina,Sofia,apartment,105000,74,1,1,3,5,2020,excellent,partly furnished,True,True,True,gas heating,Road access toward Studentski Grad and ring road,"Newer apartment in Malinova Dolina, an area popular for recent development and modern buildings. The property offers a larger-than-average one-bedroom layout and appeals to buyers who prioritize newer construction.",The apartment is in excellent condition. Finishes are modern and the building common areas are clean.,Ownership documents are available and no known legal concerns were disclosed.,"new construction, parking, terrace, modern building, good size"
P028,Apartment in Hladilnika Near Paradise Center,Hladilnika,Sofia,apartment,172000,98,2,2,6,8,2017,excellent,fully furnished,True,True,True,gas heating,"Vitosha metro station, Paradise Center, bus links","High-quality apartment in Hladilnika near Paradise Center and metro. The location combines modern urban living, shopping access, and strong transport connections. The apartment is suitable for buyers looking for convenience and contemporary finishes.","Excellent interior condition with fitted kitchen, quality bathroom finishes, and maintained terrace.",Standard legal documents provided. No issues reported.,"near metro, near mall, parking, fully furnished, modern"
P029,Compact Apartment in Poduyane with Good Transport,Poduyane,Sofia,apartment,99000,69,1,1,2,5,1997,good,partly furnished,False,False,False,central heating,"Bus, rail, and road access toward central Sofia","Compact apartment in Poduyane offering practical access to transport and city infrastructure. The property works well for single occupants, couples, or investment buyers.","The home is in serviceable condition, with older finishes but no significant visible structural issues.",Seller indicates clear ownership.,"good transport, compact, investment option, practical price, city access"
P030,Budget-Friendly Apartment in Zaharna Fabrika,Zaharna Fabrika,Sofia,apartment,89000,64,1,1,5,7,1989,fair,unfurnished,True,True,False,district heating,Public transport links toward center and western districts,Budget-friendly apartment in Zaharna Fabrika suitable for buyers seeking lower price and a functional layout. The property includes a terrace and offers access to daily services and transport.,Cosmetic updates are recommended. The terrace is usable and windows are older but functional.,No known legal encumbrances reported.,"affordable, terrace, elevator, renovation potential, good entry price"
P031,Affordable Apartment in Suhodol,Suhodol,Sofia,apartment,68000,58,1,1,2,4,1990,fair,unfurnished,False,False,True,local heating,Bus connection to wider Sofia,"Lower-priced apartment in Suhodol for buyers prioritizing affordability over central access. The property is simple and functional, with potential for value improvement through renovation.",The apartment needs cosmetic improvement and some modernization in wet areas.,Seller reports standard ownership documents and no encumbrances.,"affordable, parking, renovation potential, quiet area, budget option"
P032,Two-Bedroom Apartment in Gorna Banya,Gorna Banya,Sofia,apartment,135000,95,2,1,3,5,2013,excellent,partly furnished,True,True,True,gas heating,Metro access in wider area and road links,"Large apartment in Gorna Banya, an area associated with cleaner air and a more residential atmosphere. The home offers spacious rooms and suits buyers looking for more comfort and a quieter environment.",Excellent condition. Kitchen and bathroom are modern and ready for immediate use.,No legal obstacles reported by the seller.,"spacious, parking, terrace, quiet area, excellent condition"
P033,One-Bedroom Apartment in Levski G,Levski G,Sofia,apartment,84000,66,1,1,4,8,1988,good,partly furnished,True,True,False,district heating,Bus routes and road access,Practical apartment in Levski G suitable for buyers seeking a mid-range price and standard city connectivity. The property includes a balcony and functional layout.,The apartment is in usable condition with some wear on flooring and paint.,Seller states there are no encumbrances.,"balcony, elevator, practical layout, mid-range price, city access"
P034,Compact Apartment in Orlandovtsi,Orlandovtsi,Sofia,apartment,79000,62,1,1,2,4,1993,fair,unfurnished,False,False,True,local heating,Bus access toward city center,Compact apartment in Orlandovtsi suitable for budget-conscious buyers seeking a simple layout and a quieter outer district setting.,"The apartment would benefit from interior renovation, especially kitchen and bathroom improvements.",Seller reports clean title.,"budget friendly, parking, quiet district, renovation option, simple layout"
P035,Two-Bedroom Apartment in Knyazhevo with Mountain Access,Knyazhevo,Sofia,apartment,148000,100,2,2,3,5,2014,excellent,partly furnished,True,True,True,gas heating,Bus access and road connection to southern Sofia,"Spacious apartment in Knyazhevo with strong appeal for buyers who value mountain proximity, cleaner air, and larger interior space. The property includes two bathrooms, terrace, and parking.",The apartment is in excellent condition and requires no immediate renovation.,Ownership documents are available and no legal concerns have been disclosed.,"mountain proximity, parking, terrace, spacious, excellent condition"
P036,Luxury Apartment in Lozenets,Lozenets,Sofia,apartment,245000,120,3,2,5,7,2021,excellent,designer furnished,True,True,True,gas heating,"Metro access, South Park, and premium urban amenities","High-end apartment in Lozenets offering premium finishes, spacious layout, and strong prestige value. The property is close to metro, parks, restaurants, and business districts. It is suitable for buyers seeking upscale urban living.","Excellent condition throughout with designer kitchen, modern bathrooms, and high-quality flooring.",Seller states clean ownership and no encumbrances.,"luxury, parking, terrace, designer furnished, prestigious location"
P037,Two-Bedroom Apartment in Mladost 3,Mladost 3,Sofia,apartment,116000,78,2,1,4,8,1991,good,partly furnished,True,True,False,district heating,Mladost metro access and major boulevard connections,"Two-bedroom apartment in Mladost 3 with strong metro connectivity and practical urban amenities. Suitable for families, couples, or investment purchase.",Good overall condition with some signs of normal wear. Terrace and windows are usable.,No legal issues reported by the seller.,"metro access, terrace, elevator, family option, good value"
P038,One-Bedroom Apartment in Druzhba 2,Druzhba 2,Sofia,apartment,95000,70,1,1,5,8,1994,good,furnished,True,True,False,district heating,Metro and bus access in Druzhba,Functional apartment in Druzhba 2 with strong transport links and neighborhood amenities. The area is suitable for buyers who want metro access at a moderate price point.,The apartment is maintained and can be used immediately. Kitchen and bathroom are older but serviceable.,Ownership reported as clean.,"furnished, balcony, metro access, elevator, moderate price"
P039,Studio in Studentski Grad with Rental Potential,Studentski Grad,Sofia,studio,88000,55,0,1,4,6,2016,very good,fully furnished,True,True,False,air conditioning,Bus routes to university and business zones,"Studio in Studentski Grad designed for rental income and efficient use of space. Located near universities, services, and nightlife, it is a strong candidate for investment-oriented buyers.",Very good condition with furniture included. The interior has been maintained and recently refreshed.,Act 16 available and ownership appears straightforward.,"investment potential, fully furnished, balcony, near universities, modern studio"
P040,Historic Central Apartment in Sofia Center,Center,Sofia,apartment,198000,110,3,1,3,5,1958,good,unfurnished,False,False,False,central heating,"Central metro stations, tram network, walkable city core","Large historic apartment in central Sofia with generous rooms, classic proportions, and long-term value tied to location. Suitable for residential use, office conversion, or premium rental after renovation.","Good structural state, but modernization of kitchen, bathroom, and finishes would improve the property significantly.",Seller indicates verified ownership and no known encumbrances.,"historic building, central location, large rooms, investment potential, high ceilings"
P041,Two-Bedroom Apartment in Vitosha District,Vitosha,Sofia,apartment,152000,97,2,2,3,5,2019,excellent,partly furnished,True,True,True,gas heating,Bus routes and road access to shopping and business areas,"Newer apartment in Vitosha district with spacious rooms, terrace, and modern building features. Suitable for buyers seeking comfort, newer construction, and southern Sofia access.",Excellent condition overall. No immediate repair needs observed.,Seller reports no legal issues and standard property registration.,"new building, terrace, parking, modern, southern district"
P042,Modern Apartment in Manastirski Livadi,Manastirski Livadi,Sofia,apartment,141000,90,2,1,4,6,2018,very good,fully furnished,True,True,True,gas heating,Bus access and easy route to Bulgaria Boulevard,"Two-bedroom apartment in Manastirski Livadi with contemporary layout, large terrace, and practical access to shopping and transport corridors. The property is attractive for both owner occupants and buyers looking for newer urban stock.",Very good condition with fitted furniture and maintained appliances.,Ownership is reported to be clear.,"large terrace, parking, fully furnished, newer construction, near shopping"
P043,Apartment in Geo Milev Near Park,Geo Milev,Sofia,apartment,123000,80,2,1,3,6,2005,very good,partly furnished,True,True,False,central heating,Bus routes and convenient access to major boulevards,Two-bedroom apartment in Geo Milev near park areas and schools. The neighborhood is family friendly and provides good access to city services.,"Very good condition, with maintained flooring and a functional kitchen.",No legal encumbrances reported.,"park nearby, terrace, elevator, family area, good condition"
P044,One-Bedroom Apartment in Mladost 4,Mladost 4,Sofia,apartment,108000,73,1,1,6,8,1998,good,partly furnished,True,True,False,district heating,Metro access and business park connectivity,Larger one-bedroom apartment in Mladost 4 with convenient access to metro and office zones. Suitable for professionals or buyers seeking a practical home in an established district.,The apartment is in good overall condition with a usable kitchen and bathroom.,Seller reports clear ownership and no disputes.,"metro access, balcony, elevator, good size, practical district"
P045,Premium Apartment in Iztok,Iztok,Sofia,apartment,210000,115,3,2,4,6,2016,excellent,designer furnished,True,True,True,central heating,"Metro, embassies zone, and quick central access","Premium apartment in Iztok with spacious layout, upscale finishes, and a location valued for prestige, greenery, and urban convenience. Suitable for buyers looking for a high-end family residence.",Excellent condition throughout with premium materials and maintained installations.,Ownership documentation provided and no legal concerns reported.,"premium, parking, terrace, designer furnished, prestigious district"
P046,Affordable Apartment in Krasna Polyana,Krasna Polyana,Sofia,apartment,76000,60,1,1,3,6,1985,fair,unfurnished,False,True,False,district heating,Tram and bus access to western and central Sofia,Affordable apartment in Krasna Polyana suitable for buyers with limited budget who still need city connectivity. The property has a simple layout and room for improvement.,Bathroom and kitchen need modernization. Main structure appears usable.,Seller states property title is clean.,"affordable, elevator, city transport, renovation potential, entry-level option"
P047,One-Bedroom Apartment in Nadezhda 2,Nadezhda 2,Sofia,apartment,82000,65,1,1,5,8,1989,good,partly furnished,True,True,False,district heating,Metro and bus access nearby,One-bedroom apartment in Nadezhda 2 with metro access and functional internal layout. A solid option for buyers seeking a mid-low price point in Sofia.,The apartment is in decent usable condition. Some repainting would improve appearance.,No legal obstacles reported by the seller.,"metro nearby, terrace, elevator, good budget option, practical layout"
P048,Park View Apartment in Slatina,Slatina,Sofia,apartment,134000,85,2,1,4,6,2008,very good,furnished,True,True,False,central heating,Bus access and convenient roads to city center,"Two-bedroom apartment in Slatina with pleasant outlook toward green areas. The property is suitable for a family and offers a comfortable balance of location, size, and price.",Very good condition with maintained kitchen and clean interior presentation.,Seller reports clear ownership.,"park view, terrace, furnished, family suitable, good condition"
P049,Compact Apartment in Obelya 2,Obelya 2,Sofia,apartment,87000,67,1,1,6,8,1991,good,partly furnished,True,True,False,district heating,Metro station and bus access nearby,One-bedroom apartment in Obelya 2 with reliable public transport and an accessible price point. Suitable for first-time buyers or smaller households.,The apartment is in good functional condition. Interior style is dated but acceptable.,No known legal issues reported.,"metro access, terrace, elevator, budget friendly, first-time buyer"
P050,Large Detached House in Boyana with Garden and Parking,Boyana,Sofia,house,275000,180,4,3,2,2,2014,excellent,partly furnished,True,False,True,local heating system,Road access to southern Sofia and Vitosha area,"Detached house in Boyana with landscaped garden, fireplace, private parking, and generous living areas. The property is positioned in a premium residential zone near the mountain and is suitable for larger families or buyers seeking more privacy and outdoor space.","Excellent condition overall. The house appears well maintained with quality finishes, usable outdoor space, and no immediate repair needs.",Clean property title reported by seller. No known ownership disputes or encumbrances disclosed.,"garden, private parking, fireplace, premium house, mountain area"
